On branch feature-soft-temp-removal
Your branch is ahead of 'origin/feature-soft-temp-removal' by 1 commit.
  (use "git push" to publish your local commits)
nothing to commit, working tree clean
lsaldyt@shiva:~/projects/farg/copycat$ ./main.py abc abd mrrjjj --iterations 30
Answered mrrkkk (time 575, final temperature 42.1)
Answered mrrkkk (time 645, final temperature 40.8)
Answered mrrkkk (time 3531, final temperature 39.1)
Answered mrrjjk (time 2281, final temperature 46.0)
Answered mrrjjk (time 2298, final temperature 43.8)
Answered mrrjjj (time 2784, final temperature 18.9)
Answered mrrjjk (time 3019, final temperature 48.0)
Answered mrrjjk (time 175, final temperature 46.3)
Answered mrrkkk (time 785, final temperature 39.0)
Answered mrrjjk (time 921, final temperature 48.7)
Answered mrrjjd (time 2069, final temperature 39.8)
Answered mrrjjjj (time 1310, final temperature 19.1)
Answered mrrjjjj (time 3426, final temperature 18.0)
Answered mrrjjk (time 2334, final temperature 40.5)
Answered mrrkkk (time 1318, final temperature 43.5)
Answered mrrkkk (time 1349, final temperature 40.0)
Answered mrrjjjj (time 4050, final temperature 19.2)
Answered mrrjjjj (time 1549, final temperature 17.6)
Answered mrrkkk (time 2438, final temperature 41.4)
Answered mrrkkk (time 4048, final temperature 41.0)
Answered mrrkkk (time 1300, final temperature 46.3)
Answered mrrkkk (time 1556, final temperature 40.6)
Answered mrrjjk (time 3276, final temperature 41.2)
Answered mrrkkk (time 5369, final temperature 40.3)
Answered mrrjjk (time 2321, final temperature 40.5)
Answered mrrjjjj (time 1714, final temperature 14.8)
Answered mrrkkk (time 1328, final temperature 40.2)
Answered mrrjjk (time 1737, final temperature 49.6)
Answered mrrjjk (time 1256, final temperature 59.2)
Answered mrrjjjj (time 4711, final temperature 19.0)
mrrjjjj: 6 (avg time 2793.3, avg temp 18.0)
mrrjjj: 1 (avg time 2784.0, avg temp 18.9)
mrrjjd: 1 (avg time 2069.0, avg temp 39.8)
mrrkkk: 12 (avg time 2020.2, avg temp 41.2)
mrrjjk: 10 (avg time 1961.8, avg temp 46.4)
lsaldyt@shiva:~/projects/farg/copycat$ vim copycat/temperature.py 
lsaldyt@shiva:~/projects/farg/copycat$ ./main.py abc abd mrrjjj --iterations 30
Answered mrrkkk (time 722, final temperature 45.8)
Answered mrrkkk (time 1956, final temperature 40.3)
Answered mrrkkk (time 486, final temperature 40.0)
Answered mrrkkk (time 1622, final temperature 39.6)
Answered mrrkkk (time 3194, final temperature 39.6)
Answered mrrkkk (time 1995, final temperature 42.0)
Answered mrrjjk (time 948, final temperature 45.0)
Answered mrrkkk (time 1149, final temperature 39.5)
Answered mrrkkk (time 921, final temperature 39.7)
Answered mrrkkk (time 4773, final temperature 38.9)
Answered mrrkkk (time 2085, final temperature 39.1)
Answered mrrkkk (time 2006, final temperature 39.5)
Answered mrrjjk (time 2762, final temperature 42.5)
Answered mrrkkk (time 685, final temperature 45.7)
Answered mrrkkk (time 999, final temperature 41.4)
Answered mrrkkk (time 1398, final temperature 38.9)
Answered mrrkkk (time 1250, final temperature 40.1)
Answered mrrkkk (time 1332, final temperature 39.3)
Answered mrrkkk (time 3251, final temperature 39.9)
Answered mrrkkk (time 1542, final temperature 43.2)
Answered mrrkkk (time 1389, final temperature 50.6)
Answered mrrkkk (time 2029, final temperature 39.2)
Answered mrrkkk (time 2128, final temperature 39.2)
Answered mrrjjk (time 1422, final temperature 41.2)
Answered mrrkkk (time 445, final temperature 43.4)
Answered mrrkkk (time 1348, final temperature 39.4)
Answered mrrjjk (time 1689, final temperature 47.1)
Answered mrrkkk (time 548, final temperature 39.5)
Answered mrrkkk (time 1913, final temperature 40.1)
Answered mrrkkk (time 4728, final temperature 39.0)
mrrkkk: 26 (avg time 1765.2, avg temp 40.9)
mrrjjk: 4 (avg time 1705.2, avg temp 44.0)
lsaldyt@shiva:~/projects/farg/copycat$ 

